Username,2digit code,Region,Template Sheet,Template Style,Zepeto mainacc url,Zepeto subacc IDs
23. 모노MONO,MN,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=585174205,"Casual, Costume, Sexy",https://user.zepeto.me/mono_shop?language=ko,@mono_shop2 / @mono_shop3 / @mono_shop4
24. 와니스 (Wanis),WA,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=829949768,"Casual, Costume, Luxury",https://user.zepeto.me/wanis?language=ko,@wanis2 / @wanis3 / @stella_2nd
25. 힐레Hilre,HR,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=658638746,"Costume, Luxury, Sexy",https://user.zepeto.me/hilre?language=ko,@hilre_shop / @hilre_shop2 (2D)
26. noil,NI,GB - Global,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=457357837,"Casual, Lovely",https://user.zepeto.me/.noil?language=ko,
27. miyoung미영,MY,GB - Global,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1798413988,Lovely,https://user.zepeto.me/miyouezpt?language=ko,@hiyori / @artemis
28. Viola,VO,GB - Global,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=234479223,"Casual, Sexy",https://user.zepeto.me/violaxxzpt?language=ko,@karma.karma / @viola2ndshop / @karma2nd
29. peternine,PN,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=807922339,Casual,https://user.zepeto.me/peternine?language=ko,@peternine.2 / @peternine.3
30. SHAYDEN,SD,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1705943444,Casual,https://user.zepeto.me/zpt.shayden?language=ko,@zpt.shayden2 / @zpt.shayden3 / @zpt.shayden4 / @zpt.shayden5 / @zpt.shayden6
31. MARGARine$,MG,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=207017716,,https://user.zepeto.me/ma_gal?language=ko,@ma_gal_A / @ma_gal_2nd / @ma_gal_3rd / @ma_gal_zgm
32. BUTTER,BT,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=653808900,"Casual, Costume, Luxury",https://user.zepeto.me/butter_shop?language=ko,
33. ETTA,ET,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=2076345715,"Casual, Costume, Luxury",https://user.zepeto.me/iametta.1?language=ko,@iametta.2 / @iametta.3 / @iametta.hair
34. ZAPCHO,ZC,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=2028445451,Casual,https://user.zepeto.me/audghks1029?language=ko,@ljg299
35. RoHam,RH,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1245886621,"Casual, Lovely, Punk",https://user.zepeto.me/theroham?language=ko,@theroham.z /@roham / @theroham.z
36. 노아(까마귀) (Noah),NO,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=218042355,,https://user.zepeto.me/karas0303?language=ko,@noah.no1
37. chaeni 채니,CN,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=558680612,"Casual, Goth",https://user.zepeto.me/chaeni1125?language=ko,@chaeni_shop2 / @chaeni_shop3
38. nyaming,NA,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1041378993,Casual,https://user.zepeto.me/nyaming_?language=ko,@nyaming_2 / @nyaming_3 / @nyaming_4 / @nyaming_5
39. SAMMIIE,SA,GB - Global,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1871106867,"Casual, Lovely",https://user.zepeto.me/sammiie?language=ko,@sammiie.
40. 덕희 (Deokhee),DH,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=984806359,,https://user.zepeto.me/deokhee?language=ko,"@deokhee2, @deokhee3, @deokhee4, @deokhee5, @deokhee6"
41. yui,YI,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=123428053,,https://user.zepeto.me/yui._.shop?language=ko,"@yuri._.shop, @yui._.shop, @yuri_zgm, @yuri_zgm2nd"
42. ⟭⟬Sunny 햇살⁵²ᴳ,SY,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1414527165,,https://user.zepeto.me/phoenixix?language=ko,"@phoenixix_2, @phoenixix_3"
43. chenko,CK,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=120490434,,https://user.zepeto.me/chenko_1st?language=ko,"@chenko_2nd, @chenko_3rd, @chenko_4th"
44. Hello S,HS,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=707737070,,https://user.zepeto.me/hello_s_1st?language=ko,"@hello_s_2nd, @hello_s_3rd, @hello_s_4th, @hello_s_5th"
45. CHECKMATE,CM,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=2083787297,,https://user.zepeto.me/checkmate.1?language=ko,"@checkmate.2, @checkmate.3, @checkmate.4"
46. 디엔DNᴸᴱᴳᴵᵀ,DN,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1855067032,,https://user.zepeto.me/denn3657?language=ko,@denn3657.1
47. LAELIAᵀᴳ 라일리아,LL,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=142926245,,https://user.zepeto.me/laeliahj?language=ko,"@laeliashop2, @laeliashop3"
