이름,2자리 코드,국가,스타일,제페토 본계,제페토 부계,템플릿 시트
24. 와니스,WA,KR - 한국,"럭셔리, 캐주얼, 코스튬",https://user.zepeto.me/wanis?language=ko,@wanis2 / @wanis3 / @stella_2nd,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=829949768
25. 힐레Hilre,HR,KR - 한국,"럭셔리, 섹시, 코스튬",https://user.zepeto.me/hilre?language=ko,@hilre_shop / @hilre_shop2 (2D),https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=658638746
26. noil,NI,GB - 글로벌,"러블리, 캐주얼",https://user.zepeto.me/.noil?language=ko,,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=457357837
27. miyoung미영,MY,GB - 글로벌,러블리,https://user.zepeto.me/miyouezpt?language=ko,@hiyori / @artemis,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1798413988
28. Viola,VO,GB - 글로벌,"섹시, 캐주얼",https://user.zepeto.me/violaxxzpt?language=ko,@karma.karma / @viola2ndshop / @karma2nd,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=234479223
29. peternine,PN,KR - 한국,캐주얼,https://user.zepeto.me/peternine?language=ko,@peternine.2 / @peternine.3,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=807922339
30. SHAYDEN,SD,KR - 한국,캐주얼,https://user.zepeto.me/zpt.shayden?language=ko,@zpt.shayden2 / @zpt.shayden3 / @zpt.shayden4 / @zpt.shayden5 / @zpt.shayden6,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1705943444
31. MARGARine$,MG,KR - 한국,,https://user.zepeto.me/ma_gal?language=ko,@ma_gal_A / @ma_gal_2nd / @ma_gal_3rd / @ma_gal_zgm,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=207017716
32. BUTTER,BT,KR - 한국,"럭셔리, 캐주얼, 코스튬",https://user.zepeto.me/butter_shop?language=ko,,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=653808900
33. ETTA,ET,KR - 한국,"럭셔리, 캐주얼, 코스튬",https://user.zepeto.me/iametta.1?language=ko,@iametta.2 / @iametta.3 / @iametta.hair,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=2076345715
34. ZAPCHO,ZC,KR - 한국,캐주얼,https://user.zepeto.me/audghks1029?language=ko,@ljg299,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=2028445451
35. RoHam,RH,KR - 한국,"러블리, 캐주얼, 펑크",https://user.zepeto.me/theroham?language=ko,@theroham.z /@roham / @theroham.z,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1245886621
36. 노아(까마귀),NO,KR - 한국,,https://user.zepeto.me/karas0303?language=ko,@noah.no1,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=218042355
37. chaeni 채니,CN,KR - 한국,"고스, 캐주얼",https://user.zepeto.me/chaeni1125?language=ko,@chaeni_shop2 / @chaeni_shop3,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=558680612
38. nyaming,NA,KR - 한국,캐주얼,https://user.zepeto.me/nyaming_?language=ko,@nyaming_2 / @nyaming_3 / @nyaming_4 / @nyaming_5,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1041378993
39. SAMMIIE,SA,GB - 글로벌,"러블리, 캐주얼",https://user.zepeto.me/sammiie?language=ko,@sammiie.,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1871106867
40. 덕희,DH,KR - 한국,,https://user.zepeto.me/deokhee?language=ko,"@deokhee2, @deokhee3, @deokhee4, @deokhee5, @deokhee6",https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=984806359
41. yui,YI,KR - 한국,,https://user.zepeto.me/yui._.shop?language=ko,"@yuri._.shop, @yui._.shop, @yuri_zgm, @yuri_zgm2nd",https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=123428053
42. ⟭⟬Sunny 햇살⁵²ᴳ,SY,KR - 한국,,https://user.zepeto.me/phoenixix?language=ko,"@phoenixix_2, @phoenixix_3",https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1414527165
43. chenko,CK,KR - 한국,,https://user.zepeto.me/chenko_1st?language=ko,"@chenko_2nd, @chenko_3rd, @chenko_4th",https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=120490434
44. Hello S,HS,KR - 한국,,https://user.zepeto.me/hello_s_1st?language=ko,"@hello_s_2nd, @hello_s_3rd, @hello_s_4th, @hello_s_5th",https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=707737070
45. CHECKMATE,CM,KR - 한국,,https://user.zepeto.me/checkmate.1?language=ko,"@checkmate.2, @checkmate.3, @checkmate.4",https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=2083787297
46. 디엔DNᴸᴱᴳᴵᵀ,DN,KR - 한국,,https://user.zepeto.me/denn3657?language=ko,@denn3657.1,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1855067032
47. LAELIAᵀᴳ 라일리아,LL,KR - 한국,,https://user.zepeto.me/laeliahj?language=ko,"@laeliashop2, @laeliashop3",https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=142926245
